,names,cuisine,price,reviews,rating,address
206,Floral By Lima,Peruvian,3,1094.0,4.3,Covent Garden
207,Ekstedt At The Yard,Nordic,4,116.0,4.7,Westminster
208,Sergios,Italian,3,815.0,4.7,Fitzrovia
210,Fatt Pundit Covent Garden,Indian,2,75.0,4.4,Aldwych
211,Le Boudin Blanc,French,3,1200.0,4.7,Mayfair
212,Blind Spot London,British,3,226.0,4.5,Covent Garden
213,L'Ulivo Villiers Street,Italian,3,953.0,4.3,Charing Cross
214,Prima Sapori D'Italia,Italian,2,408.0,4.3,Covent Garden
215,Bab Mansour,Mediterranean,2,17.0,4.8,Holborn
216,Madera At Treehouse London,Mexican,4,135.0,4.4,Marylebone
217,Titu,Japanese,3,252.0,4.6,Mayfair
218,Leicester Square Kitchen,Mexican,4,1324.0,4.5,Leicester Square
220,Big Easy Covent Garden,American,3,6760.0,3.4,Covent Garden
222,The Northall At Corinthia London,Modern European,3,2814.0,4.6,Covent Garden
223,Gordon Ramsay Street Burger — Covent Garden,Burgers,2,149.0,4.3,Aldwych
224,Mariage Frères,French,2,186.0,4.6,Covent Garden
225,Oscar Restaurant,Modern European,2,597.0,4.4,Fitzrovia
226,Beast,Steak,4,417.0,4.6,Oxford Circus
227,Gordon Ramsay Street Burger — Charing Cross Road,Burgers,2,180.0,4.0,Bank
228,Giannino Mayfair,Italian,4,125.0,4.6,Mayfair
229,Redfarm,Chinese,3,417.0,4.6,Covent Garden
231,The Footman - Mayfair,British,2,184.0,4.5,Mayfair
232,Moc Kitchen,Vietnamese,2,164.0,4.5,Charing Cross
233,45 Jermyn St.,British,4,1305.0,4.7,St. James's
234,Kazu,Japanese,4,221.0,4.5,Fitzrovia
235,L'Artiste Muscle,French,2,89.0,4.6,Mayfair
236,Antipodea Richmond,Australian,2,309.0,4.3,Richmond
237,Kurobuta Fitzrovia,Modern Asian,4,12.0,4.6,Fitzrovia
239,The 40 Elephants,Cocktail Bar,3,44.0,4.8,Westminster
