names,cusine,price,reviews_count,rating,address,url
Lorne,Modern British restaurant,Not Available,319 reviews,4.7,"76 Wilton Rd, Pimlico, London SW1V 1DE","https://www.google.com/maps/place/Lorne/@51.4927754,-0.1578563,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x487604e01904b00d:0x681a1d0967b53496!8m2!3d51.4927561!4d-0.1403874!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEZbW9kZXJuX2JyaXRpc2hfcmVzdGF1cmFudA"
Ikoyi Restaurant St. James's,Restaurant,££,541 reviews,4.5,"1 St James's Market, St. James's, London SW1Y 4AH","https://www.google.com/maps/place/Ikoyi+Restaurant+St.+James's/@51.5091333,-0.1509873,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x487604d166820d93:0x718867b7c5412382!8m2!3d51.5091333!4d-0.1334778!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEKcmVzdGF1cmFudA"
The Palomar,Middle Eastern restaurant,££,"1,458 reviews",4.6,"34 Rupert St, London W1D 6DN","https://www.google.com/maps/place/The+Palomar/@51.5091333,-0.1509873,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x487604d3b707b0df:0x5075b2ec663d560d!8m2!3d51.5112201!4d-0.1327198!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEZbWlkZGxlX2Vhc3Rlcm5fcmVzdGF1cmFudA"
BRAT Restaurant,Bar & grill,££,827 reviews,4.6,"4 Redchurch St, London E1 6JL","https://www.google.com/maps/place/BRAT+Restaurant/@51.5242042,-0.0942126,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x48761cb0b66575ed:0xbc95fbb590ac2921!8m2!3d51.5242042!4d-0.0767031!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgENYmFyX2FuZF9ncmlsbA"
Clos Maggiore,Modern European restaurant,£££,"1,399 reviews",4.5,"33 King St, London WC2E 8JD","https://www.google.com/maps/place/Clos+Maggiore/@51.5116945,-0.1422396,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x487604cc5d576815:0x2e9c0de5854aa090!8m2!3d51.5116945!4d-0.1247301!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEabW9kZXJuX2V1cm9wZWFuX3Jlc3RhdXJhbnQ"
Tasting Italy - Italian Restaurant,Italian restaurant,££,441 reviews,4.3,,"https://www.google.com/maps/place/Tasting+Italy+-+Italian+Restaurant/@51.5116945,-0.1422396,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x487604d22788e39b:0x2f21c8e85d081ab6!8m2!3d51.5095698!4d-0.13197!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgESaXRhbGlhbl9yZXN0YXVyYW50"
The Fortnum’s Bar & Restaurant at Royal Exchange,Bar,Not Available,266 reviews,4.4,,"https://www.google.com/maps/place/The+Fortnum%E2%80%99s+Bar+%26+Restaurant+at+Royal+Exchange/@51.5137412,-0.1051249,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x487603536714db2b:0xfc0c12f2cced882f!8m2!3d51.5137412!4d-0.0876154!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEDYmFy"
Wiltons Restaurant,Seafood restaurant,££££,344 reviews,4.7,"55 Jermyn St, St. James's, London SW1Y 6LX","https://www.google.com/maps/place/Wiltons+Restaurant/@51.5077053,-0.1742585,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x487604d648aee96d:0xdb97dd33be83c419!8m2!3d51.5076729!4d-0.1392117!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgESc2VhZm9vZF9yZXN0YXVyYW50"
Kiln,Thai restaurant,££,"1,835 reviews",4.4,"58 Brewer St, London W1F 9TL","https://www.google.com/maps/place/Kiln/@51.5077053,-0.1742585,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x487604d46eeab9ff:0x327d3035b194d3b8!8m2!3d51.5114007!4d-0.136059!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEPdGhhaV9yZXN0YXVyYW50"
The Clove Club,Modern British restaurant,££££,725 reviews,4.6,"Shoreditch Town Hall, 380 Old St, London EC1V 9LT","https://www.google.com/maps/place/Kricket+Soho/@51.5077053,-0.1742585,13z/data=!4m7!1m3!2m2!1srestaurants+in+london+uk!6e5!3m2!1s0x487604d40af1695d:0x541519c451f66d70!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgERaW5kaWFuX3Jlc3RhdXJhbnQ"
