names,cuisine,price,reviews,rating,bookings,address
Comptoir Café and Wine,Mediterranean,2,93,4.6,2,Mayfair
Al Sultan,Lebanese,3,181,4.2,1,Green Park
Stringfellows - Gentleman's Club and Restaurant,Contemporary European,4,17,4.3,NA,Covent Garden
Spaghetti House Goodge Street,Italian,2,85,4.1,1,Fitzrovia
Spaghetti House Woodstock Street,Italian,2,21,4.0,1,Mayfair
Noura Mayfair,Lebanese,3,129,3.9,1,Mayfair
Savoir Faire,French,2,2341,4.0,6,Covent Garden
RAI,Japanese,4,3,3.7,NA,Fitzrovia
1857 The Bar,British,2,42,4.0,1,Green Park
Afternoon Tea at Caffe Concerto - Northumberland Av,Italian,2,27,3.7,2,Piccadilly
Giotto Macellaio,Italian,3,NA,NA,1,Bloomsbury
Angus Steakhouse Woodstock St,English,2,NA,NA,NA,Mayfair
Madison at The Washington Mayfair Hotel,International,3,NA,NA,NA,Mayfair
Hachi Japanese BBQ Restaurant,Japanese,2,268,4.6,33,Soho
Brasserie Zedel,French,2,3148,4.5,18,Piccadilly
The Monarch Theatre at Park Row,"Global, International",4,27,4.9,5,Soho
Mele E Pere,Italian,2,1694,4.4,NA,Soho
Blacklock Soho,Steak,2,3767,4.8,76,Soho
Hawksmoor Air Street,Steakhouse,2,9296,4.7,143,Piccadilly
Hard Rock Cafe London Piccadilly Circus,American,2,3362,4.6,140,Piccadilly
Engawa Restaurant,Japanese,4,778,4.5,32,Soho
Afternoon Tea at the Oscar Wilde Lounge,Afternoon Tea,4,1734,4.7,6,Piccadilly
Andrew Edmunds,Modern European,3,710,4.7,33,Soho
Sticks'n'Sushi - Soho,Sushi,2,23,4.7,6,Soho
Folie,Contemporary French,3,53,4.5,3,Soho
Old Compton Brasserie,British,2,1934,4.5,77,Soho
Cakes & Bubbles at Hotel Cafe Royal,Dessert,3,698,4.6,8,Piccadilly
Yauatcha Soho,Chinese,3,6691,4.3,30,Soho
Afternoon Tea at Bafarat Cafe,Afternoon Tea,2,4,3.8,NA,Soho
Jinjuu Soho,Korean,3,1747,4.5,39,Soho
Dean Street Townhouse,British,3,2975,4.6,102,Soho
MADHU’S of Mayfair,Indian,4,317,4.4,20,Mayfair
Tendril - A (mostly) vegan kitchen,Vegetarian / Vegan,2,47,4.6,2,Soho
Cecconi's,Italian,3,1852,4.6,95,Mayfair
Inko Nito London,Japanese,3,10,4.8,4,Soho
Gauthier Soho,French,4,3735,4.8,16,Soho
L'Escargot,French,3,3394,4.6,10,Soho
Imperial Treasure,Chinese,4,532,4.5,50,Piccadilly
Negroni's,Italian,3,110,4.5,53,Soho
Lucky Cat by Gordon Ramsay,Asian,4,694,4.3,58,Mayfair
Saint Jacques,French,4,227,4.7,5,St. James's
Quaglino's,Contemporary European,3,1511,4.3,NA,Green Park
La Goccia,Italian,4,1336,4.5,5,Covent Garden
Jamavar,Indian,4,919,4.7,6,Mayfair
St Martin's House,Contemporary British,3,NA,NA,NA,Covent Garden
"The Petersham, Covent Garden",Italian,4,1145,4.4,33,Covent Garden
2 Veneti,Italian,3,1356,4.6,5,Mayfair
Côte Brasserie - St Martin's Lane,French,2,18,4.1,NA,Leicester Square
Bardo St James’s,Italian,4,5,4.5,1,Charing Cross
Inamo - Covent Garden,Asian,3,4269,3.6,NA,Covent Garden
Ochre Restaurant,British,3,NA,NA,NA,Charing Cross
Le Comptoir Robuchon,French,4,28,4.9,8,Mayfair
Stalls - London Coliseum,Bar / Lounge / Bottle Service,2,NA,NA,NA,Charing Cross
American Bar Restaurant,Contemporary European,3,702,4.3,NA,Covent Garden
"Afternoon Tea at Monmouth Kitchen, Covent Garden",Afternoon Tea,3,20,4.3,1,Covent Garden
KIKUCHI,Sushi,4,153,4.8,4,Fitzrovia
IT London,Mediterranean,4,27,4.0,2,Mayfair
"Les 110 de Taillevent, London",French,3,266,4.8,5,Oxford Circus
The London Cheese Crawl - Food Tour,Continental,3,NA,NA,NA,Green Park
Langan's Brasserie,British,4,4248,4.4,5,Green Park
Arros QD,Mediterranean,3,96,4.3,1,Fitzrovia
ROKA - Charlotte Street,Japanese,4,190,4.7,7,Fitzrovia
Mimi Mei Fair,Chinese,4,NA,NA,NA,Mayfair
Thai Square Covent Garden,Thai,3,530,4.4,4,Leicester Square
Bindas Eatery- Mayfair,Indian,2,113,4.1,NA,Mayfair
Com Viet,Vietnamese,2,524,4.5,2,Covent Garden
Meraki Restaurant,Greek,4,117,4.7,4,Fitzrovia
The Game Bird,British,4,481,4.6,2,Green Park
Fumo,Italian,2,121,4.4,2,Covent Garden
Yalla Yalla Winsley St,Lebanese,2,88,4.3,4,Marylebone
Delfino Restaurant,Italian,2,550,4.6,2,Mayfair
Sotheby’s Restaurant,Modern European,3,50,4.7,7,Mayfair
Berkshire Lounge Bar,British,3,1,4.5,NA,Oxford Circus
Bellamy's,Modern European,3,281,4.6,1,Mayfair
Afternoon Tea at The Radisson Blu Edwardian Kenilworth,Afternoon Tea,3,15,3.6,NA,Fitzrovia
Afternoon Tea at The Bloomsbury Street Hotel,Afternoon Tea,3,21,3.7,NA,Bloomsbury
Murano,Contemporary European,4,2089,4.6,NA,Mayfair
Afternoon Tea at Caffe Concerto Green Park,Italian,2,20,3.8,NA,Green Park
Ormer Mayfair,British,4,933,4.9,1,Mayfair
GBR - Great British Restaurant @ Dukes London,British,2,383,4.6,2,St. James's
Afternoon Tea at Corinthia London,Afternoon Tea,4,1136,4.8,5,Charing Cross
Hélène Darroze at The Connaught,French,4,752,4.6,5,Mayfair
Eve Bar by Adam Handling,Bar / Lounge / Bottle Service,3,73,4.4,10,Aldwych
Thai Square Trafalgar Square,Thai,3,1766,3.9,2,Charing Cross
The Drawing Room At DUKES LONDON (Afternoon Tea),Afternoon Tea,3,141,4.5,NA,Green Park
"Afternoon Tea at The Petersham, Covent Garden",Afternoon Tea,4,11,4.3,1,Covent Garden
The Jones Family Affair,Steakhouse,3,6,4.9,6,Charing Cross
Kerridge’s Bar & Grill,British,3,80,4.6,NA,Westminster
Da Paolo Restaurant,Italian,3,884,4.7,NA,Fitzrovia
Locket's,European,2,5,4.2,1,St. James's
Manetta's Bar,British,2,76,4.9,3,Mayfair
Punjab Restaurant,Indian,2,80,4.6,NA,Holborn
Pahli Hill,Indian,3,11,4.7,NA,Fitzrovia
The Drawing Room at Brown's Hotel,Afternoon Tea,4,41,4.3,NA,Mayfair
Palms of Goa,Indian,2,12,4.6,2,Fitzrovia
The Wine Place Covent Garden,Italian,2,115,4.6,NA,Soho
Afternoon Tea at The Chesterfield Mayfair,Afternoon Tea,4,100,4.4,NA,Mayfair
The Parlour at Great Scotland Yard,Afternoon Tea,4,13,4.9,7,Westminster
Sticks'n'Sushi - Covent Garden,Sushi,2,20,4.8,NA,Covent Garden
Jean-Georges At The Connaught,Bistro,3,158,4.7,3,Mayfair
Café Murano - St James,Italian,3,1730,4.5,NA,St. James's
Caffe Concerto Green Park,Italian,2,85,3.5,NA,Green Park
Pied A Terre,French,4,308,4.6,NA,Fitzrovia
Caffe Concerto - Whitehall,Italian,2,76,4.3,NA,Piccadilly
Da Henrietta,Italian,3,369,4.2,NA,Covent Garden
Ping Pong Covent Garden,Asian,2,94,4.0,NA,Covent Garden
"The Clermont Restaurant and Bar, Charing Cross",Modern European,2,29,4.5,NA,Charing Cross
Avenue Restaurant,Contemporary European,3,664,4.4,2,Green Park
The Elysée,Greek,4,169,4.3,NA,Fitzrovia
Pizzeria Mozza,Pizzeria,2,10,4.1,4,Oxford Circus
The Crusting Pipe,British,3,381,4.0,2,Covent Garden
Parsons,Fish,3,264,4.7,NA,Covent Garden
Champagne Charlies,British,3,340,3.9,NA,Charing Cross
Chefs Table at Lucky Cat by Gordon Ramsay,Asian,4,20,4.8,1,Mayfair
Noizé,Modern European,4,120,4.8,NA,Fitzrovia
The Den at St Martins Lane London,Afternoon Tea,3,150,4.3,NA,Covent Garden
Salvador and Amanda Covent Garden,Spanish,2,478,4.1,7,Leicester Square
The Foyer & Reading Rooms at Claridge’s,Modern European,3,284,4.8,NA,Mayfair
Caffé Concerto - Oxford Street,Italian,2,12,3.4,NA,Mayfair
Mamounia Lounge - Mayfair,Lebanese,3,241,3.7,1,Mayfair
Koba,Korean,3,1327,4.7,NA,Soho
Pane Cunzato,Italian,2,23,4.6,NA,Bloomsbury
Afternoon Tea at Jean-Georges at The Connaught,Afternoon Tea,4,49,4.5,1,Mayfair
Afternoon Tea @ B Bakery,Afternoon Tea,3,273,4.3,NA,Covent Garden
Giotto Restaurant,Italian,2,91,4.0,NA,Covent Garden
Phoenix Arts Club,British,2,293,4.4,NA,Soho
Creme de la Crepe,Creperie,2,26,4.2,1,Covent Garden
Davy's St James,British,3,79,3.9,NA,St. James's
Wild Honey Terrace at Sofitel,Mediterranean,3,17,4.6,NA,Charing Cross
Spaghetti House Cranbourn Street,Italian,2,99,3.8,1,Leicester Square
Henry's Cafe Bar Piccadilly,British,3,1,4.5,NA,Green Park
Afternoon Tea at Caffe Concerto Whitehall,Italian,2,22,3.9,NA,Leicester Square
The Arber Garden,British,3,695,4.3,NA,Fitzrovia
Bonds Mayfair,Pub,2,6,4.4,NA,Mayfair
Butlers at The Chesterfield,British,3,257,4.1,NA,Mayfair
1989 Clubhouse,Pan-Asian,2,1,NA,NA,Covent Garden
Tea and Tattle,British,3,66,4.4,1,Bloomsbury
Norma London,Sicilian,3,20,4.5,NA,Fitzrovia
Quaglino's Bar,Modern European,2,7,4.5,NA,Green Park
The Long Acre,British,2,26,3.2,NA,Covent Garden
Bar Salsa!,Latin American,2,85,3.5,NA,Leicester Square
Loop Bar,British,2,1199,4.0,NA,Oxford Circus
College Arms,Pub,2,NA,NA,NA,Fitzrovia
Lady of the Grapes,Wine Bar,3,69,4.4,NA,Covent Garden
Scoff & Banter - Bloomsbury,British,2,360,3.8,NA,Bloomsbury
Lucky Cat - Kori Kitchen Table,Asian,4,NA,NA,NA,Mayfair
Afternoon Tea at The May Fair Hotel,Afternoon Tea,4,137,4.4,NA,Mayfair
KILN,Thai,2,NA,NA,NA,London Bridge
Foxlow Soho,British,2,600,4.3,NA,Soho
Bob Bob Ricard,American,2,NA,NA,NA,Piccadilly
El Pastor - Soho,Mexican,2,NA,NA,NA,Soho
HIX Soho Restaurant & Bar,British,4,1856,3.9,NA,Soho
HIX Soho – Mark’s Bar,British,2,NA,NA,NA,Soho
MASH,Steakhouse,4,1683,4.4,NA,Soho
Yolk - Soho,Burgers,2,NA,NA,NA,Soho
The Queen's Head,British,2,139,4.3,NA,Piccadilly
XU Teahouse & Restaurant,Asian,3,67,4.4,NA,Piccadilly
Clockjack,Contemporary European,2,180,3.8,NA,Piccadilly
"Jamie's Italian, Piccadilly",Italian,3,309,3.7,NA,Piccadilly
Jeow Jeow,Thai,2,10,4.6,NA,Soho
Pampushka,Eastern European,2,27,4.4,NA,Soho
Yeni,Mediterranean,3,253,4.6,NA,Soho
Epoc,Bar / Lounge / Bottle Service,2,NA,NA,NA,Soho
Wild Rice London,Thai,3,53,4.0,NA,Soho
Ramo Ramen - Soho,Filipino,2,NA,NA,NA,Soho
Polpo London,Italian,2,NA,NA,NA,London Bridge
NOPI,Mediterranean,4,5888,4.5,NA,Soho
"NOPI - Downstairs, Sharing Tables",Mediterranean,4,1762,4.5,NA,Soho
