,Unnamed: 0,website_id,full_name,cuisine,price_range,reviews,rating,location,url,rest_id
274,274,1173,Kazu,Japanese,4,221.0,4.5,Fitzrovia,https://www.opentable.co.uk/r/kazu-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2309
275,275,1378,L'Artiste Muscle,French,2,89.0,4.6,Mayfair,https://www.opentable.co.uk/r/lartiste-muscle-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2253
276,276,1406,Bond Street Kitchen,British,3,121.0,4.2,Mayfair,https://www.opentable.co.uk/r/bond-street-kitchen-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2472
278,278,1176,Al Hamra,Middle Eastern,3,276.0,4.4,Mayfair,https://www.opentable.co.uk/al-hamra-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2407
279,279,1131,Mother Mash Covent Garden,British,2,18.0,3.8,Trafalgar Square,https://www.opentable.co.uk/r/mother-mash-covent-garden-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2618
280,280,1227,Gaucho Charlotte Street,Steak,4,1834.0,4.4,Fitzrovia,https://www.opentable.co.uk/gaucho-charlotte-street?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2294
281,281,1158,Da Paolo Restaurant,Italian,3,883.0,4.7,Fitzrovia,https://www.opentable.co.uk/r/da-paolo-restaurant-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2415
282,282,1277,Greyhound Cafe,Thai,3,237.0,4.4,Fitzrovia,https://www.opentable.co.uk/r/greyhound-cafe-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2446
283,283,1252,May Fair Bar,International,3,50.0,4.3,Mayfair,https://www.opentable.co.uk/r/may-fair-bar-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2475
284,284,1178,Kerridge’S Bar & Grill,British,3,80.0,4.6,Westminster,https://www.opentable.co.uk/r/kerridges-bar-and-grill-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2226
285,285,1120,Salvador And Amanda Covent Garden,Spanish,2,478.0,4.1,Leicester Square,https://www.opentable.co.uk/salvador-and-amanda?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2272
286,286,1215,Caviar House & Prunier,Seafood,3,83.0,4.8,Green Park,,2388
287,287,1276,Ousia,Greek,2,95.0,4.6,Fitzrovia,https://www.opentable.co.uk/r/ousia-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2494
288,288,1235,The Wine Place Covent Garden,Italian,2,115.0,4.6,Soho,https://www.opentable.co.uk/r/the-wine-place-covent-garden?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2458
289,289,1338,The Rooftop,Modern European,3,413.0,3.7,St. James's,https://www.opentable.co.uk/r/the-rooftop-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2434
290,290,1360,Queens Of Mayfair,British,2,47.0,4.2,Mayfair,https://www.opentable.co.uk/r/queens-of-mayfair-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2603
291,291,1190,Palms Of Goa,Indian,2,12.0,4.6,Fitzrovia,https://www.opentable.co.uk/r/palms-of-goa-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2558
292,292,1447,Chesterfield Arms,British,2,24.0,4.5,Mayfair,https://www.opentable.co.uk/r/chesterfield-arms-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2558
293,293,1295,Caffe Concerto Green Park,Italian,2,85.0,3.5,Green Park,https://www.opentable.co.uk/caffe-concerto-green-park?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2408
294,294,1352,Bloomsbury Street Kitchen,Others,3,198.0,4.5,Bloomsbury,https://www.opentable.co.uk/r/bloomsbury-street-kitchen-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2349
295,295,1399,Archipelago,International,4,396.0,4.6,Fitzrovia,https://www.opentable.co.uk/archipelago-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2479
296,296,1162,The Garden At Corinthia London,Modern European,2,181.0,4.6,Charing Cross,https://www.opentable.co.uk/r/the-garden-at-corinthia-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2512
297,297,1310,Wild Honey Terrace At Sofitel,Others,3,17.0,4.6,Charing Cross,https://www.opentable.co.uk/r/wild-honey-terrace-at-sofitel-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2561
298,298,1188,Da Henrietta,Italian,3,369.0,4.2,Covent Garden,https://www.opentable.co.uk/r/da-henrietta-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2451
299,299,1136,Caffe Concerto - Whitehall,Italian,2,77.0,4.3,Piccadilly,https://www.opentable.co.uk/r/caffe-concerto-whitehall-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2347
