names,summary,cusine,price,reviews_count,rating,address,url
Aquavit London,NA,Scandinavian restaurant,£££,824 reviews,4.4,"1 St James's Market, Carlton St, St. James's, London SW1Y 4QQ","https://www.google.com/maps/place/Aquavit+London/@51.5088943,-0.1507682,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x487604d15d5ca7fd:0xf2b24bbf25bf8202!8m2!3d51.5088943!4d-0.1332587!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEXc2NhbmRpbmF2aWFuX3Jlc3RhdXJhbnQ"
Paladar,"Classy, art-decorated restaurant offering Latin American share plates, cocktails & sidewalk tables.",Restaurant,££,752 reviews,4.7,"4-5 London Rd, London SE1 6JZ","https://www.google.com/maps/place/Paladar/@51.4981401,-0.1218785,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x487604a341961979:0x24ad261bc8353bc7!8m2!3d51.4981672!4d-0.1043161!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEKcmVzdGF1cmFudA"
Duck & Waffle,"British and European cuisine served 24/7 in modern, 40th-floor space with floor-to-ceiling windows.",Modern European restaurant,£££,"7,142 reviews",4.2,"110 Bishopsgate, London EC2N 4AY","https://www.google.com/maps/place/Duck+%26+Waffle/@51.5162529,-0.0987037,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x48761cb295f6ff5f:0xb3e4152c8e522a3c!8m2!3d51.5162529!4d-0.0811942!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEabW9kZXJuX2V1cm9wZWFuX3Jlc3RhdXJhbnQ"
The Clove Club,Cutting-edge restaurant and bar for innovative British menu using often-overlooked ingredients.,Modern British restaurant,££££,724 reviews,4.6,"Shoreditch Town Hall, 380 Old St, London EC1V 9LT","https://www.google.com/maps/place/The+Clove+Club/@51.5162529,-0.0987037,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x48761cba5fa8b191:0x33c7bbe08de9fa81!8m2!3d51.527123!4d-0.0793374!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEZbW9kZXJuX2JyaXRpc2hfcmVzdGF1cmFudA"
Sweetings,"Lunchtime institution with fish on ice in the window, for classic dishes and comfort-food puddings.",Seafood restaurant,£££,164 reviews,4.6,"39 Queen Victoria St, London EC4N 4SF","https://www.google.com/maps/place/Sweetings/@51.5162529,-0.0987037,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x487604aa7dc28aad:0x9725b730c58d9789!8m2!3d51.5124874!4d-0.0927486!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgESc2VhZm9vZF9yZXN0YXVyYW50"
River View,NA,Chinese restaurant,££,231 reviews,4.0,"New Crane Wharf, New Crane Pl, London E1W 3TU","https://www.google.com/maps/place/River+View/@51.505569,-0.0715345,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x487603290c6dd4f3:0xf139264366a3f156!8m2!3d51.505569!4d-0.054025!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgESY2hpbmVzZV9yZXN0YXVyYW50"
Otto's French Restaurant London,Pop art meets velvet banquettes and antiques in a restaurant serving updated classic French dishes.,French restaurant,£££,272 reviews,4.5,"182 Grays Inn Rd, London WC1X 8EW","https://www.google.com/maps/place/Otto's+French+Restaurant+London/@51.5229187,-0.1317705,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x48761b48fe116fbb:0xe0b0cf327fa67ca5!8m2!3d51.5229187!4d-0.114261!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgERZnJlbmNoX3Jlc3RhdXJhbnQ"
Bancone,Housemade pastas are offered with Prosecco & espresso in a chic setting with 3 dining counters.,Italian restaurant,££,"1,052 reviews",4.5,"39 William IV St, London WC2N 4DD","https://www.google.com/maps/place/Bancone/@51.5095795,-0.1439146,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x487604ce7e57942f:0x2ba07c05296427b!8m2!3d51.5095558!4d-0.1264024!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgESaXRhbGlhbl9yZXN0YXVyYW50"
Berners Tavern,Jason Atherton's upmarket Modern British restaurant in Ian Schrager's London Edition Hotel.,British restaurant,£££,"1,761 reviews",4.5,"10 Berners St, London W1T 3NP","https://www.google.com/maps/place/Berners+Tavern/@51.5166544,-0.1711234,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x48761b2b657c41e5:0x5593682c9b218977!8m2!3d51.5166422!4d-0.1361818!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgESYnJpdGlzaF9yZXN0YXVyYW50"
Steak & Co.,NA,Steak house,££,"3,368 reviews",4.5,,"https://www.google.com/maps/place/Steak+%26+Co./@51.5166544,-0.1711234,13z/data=!3m1!5s0x487604cdfd6d24cd:0xa2a336346a32d25!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x487604cd93d1854b:0x4c9cea17f5145e54!8m2!3d51.5097598!4d-0.1286075!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgELc3RlYWtfaG91c2WaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnRkMkZIZUc1QlJSQUI"
Bancone,Housemade pastas are offered with Prosecco & espresso in a chic setting with 3 dining counters.,Italian restaurant,££,"1,052 reviews",4.5,"39 William IV St, London WC2N 4DD","https://www.google.com/maps/place/Bancone/@51.5166544,-0.1711234,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x487604ce7e57942f:0x2ba07c05296427b!8m2!3d51.5095558!4d-0.1264024!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgESaXRhbGlhbl9yZXN0YXVyYW50"
Ikoyi Restaurant St. James's,Chic space with decor that reflects the cuisine: a modern twist on authentic West African flavours.,Restaurant,££,541 reviews,4.5,"1 St James's Market, St. James's, London SW1Y 4AH","https://www.google.com/maps/place/Ikoyi+Restaurant+St.+James's/@51.5166544,-0.1711234,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x487604d166820d93:0x718867b7c5412382!8m2!3d51.5091333!4d-0.1334778!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEKcmVzdGF1cmFudA"
Archipelago,"Exotic meats and insect sides in flamboyant restaurant with Buddhas, palms and peacock feathers.",Eclectic restaurant,£££,379 reviews,4.5,"53 Cleveland St, London W1T 4JJ","https://www.google.com/maps/place/Archipelago/@51.5166544,-0.1711234,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x48761b28ff4c92f1:0xcc0da3fd3ada4401!8m2!3d51.52048!4d-0.1388113!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgETZWNsZWN0aWNfcmVzdGF1cmFudA"
The Greenhouse,"Upmarket, traditional French cuisine in a luxurious, discreet setting with a leafy outdoor terrace.",Restaurant,££££,333 reviews,4.5,"27A Hay's Mews, London W1J 5NY","https://www.google.com/maps/place/The+Greenhouse/@51.5166544,-0.1711234,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x4876052ef1a5e865:0xe433b180995c10ec!8m2!3d51.5076362!4d-0.1492617!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEKcmVzdGF1cmFudA"
Gaucho Piccadilly,NA,Argentinian restaurant,£££,"3,071 reviews",4.3,,"https://www.google.com/maps/place/Gaucho+Piccadilly/@51.5166544,-0.1711234,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x487604d42b9f883f:0xf625c6cd02f26236!8m2!3d51.5097608!4d-0.1379257!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEWYXJnZW50aW5pYW5fcmVzdGF1cmFudA"
"Kilikya’s Gastro, Cocktails, Lounge",Modern cafe/restaurant with a deli-style display counter and a menu of Turkish classics and more.,Turkish restaurant,££,434 reviews,3.6,"Unit C4, Ivory House St.Katharine Docks, London E1W 1AT","https://www.google.com/maps/place/Kilikya%E2%80%99s+Gastro,+Cocktails,+Lounge/@51.5166544,-0.1711234,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x48760349cb7986a7:0x8b3278a248dc39d3!8m2!3d51.5084939!4d-0.0736238!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgESdHVya2lzaF9yZXN0YXVyYW50"
The India - Best of The City,"Classic Indian dishes served in 3 candlelit underground rooms with whitewashed, vaulted ceilings.",Indian restaurant,££,950 reviews,4.5,"21 College Hill, London EC4R 2RP","https://www.google.com/maps/place/The+India+-+Best+of+The+City/@51.5166544,-0.1711234,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x48760355bb83bd49:0x59878a3027d6dca!8m2!3d51.5115001!4d-0.0921466!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgERaW5kaWFuX3Jlc3RhdXJhbnQ"
Seabird,NA,Restaurant,Not Available,488 reviews,4.4,,"https://www.google.com/maps/place/Seabird/@51.5166544,-0.1711234,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x48760525060f4311:0x312a91d49a936adb!8m2!3d51.5056667!4d-0.1047752!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEKcmVzdGF1cmFudA"
Barrafina,NA,Tapas restaurant,£££,979 reviews,4.5,,"https://www.google.com/maps/place/Barrafina/@51.5166544,-0.1711234,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x487604ce86785007:0xe19bad1ab115873a!8m2!3d51.5094114!4d-0.1257536!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEQdGFwYXNfcmVzdGF1cmFudA"
Moro,"Creative North African & Spanish dishes, plus all-day tapas in a smart space with a relaxed vibe.",Spanish restaurant,£££,851 reviews,4.5,"34-36 Exmouth Market, London EC1R 4QE","https://www.google.com/maps/place/Moro/@51.5166544,-0.1711234,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x48761b458234a1f7:0xdcf815e176917b55!8m2!3d51.5258809!4d-0.1089987!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgESc3BhbmlzaF9yZXN0YXVyYW50"
40 Maltby Street,"Artisanal foodstuffs, baked goods, fresh meats and vegetables on offer from bustling market stalls.",Wine bar,££,335 reviews,4.7,"40 Maltby St, London SE1 3PA","https://www.google.com/maps/place/40+Maltby+Street/@51.4996271,-0.1110446,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x487603415a6b5673:0xd37b79cac69f3fb5!8m2!3d51.4996209!4d-0.0760364!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEId2luZV9iYXKaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUmhkMWw2TUhoUlJSQUI"
